cep,latitude,longitude,state,city,neighborhood,street
38400258,-18.929428,-48.291579,MG,Uberlandia,TABAJARAS,AVENIDA HERMES FONSECA CARNEIRO
38400261,-18.927174,-48.287601,MG,Uberlandia,TABAJARAS,RUA B
38400262,-18.927095,-48.288325,MG,Uberlandia,TABAJARAS,AVENIDA AFRANIO RODRIGUES DA CUNHA
38400264,-18.927893,-48.289648,MG,Uberlandia,TABAJARAS,RUA TUIUTI
38400266,-18.924822,-48.287911,MG,Uberlandia,TABAJARAS,RUA PROFESSORA GUARACIABA SANTOS
38400268,-18.924687,-48.288299,MG,Uberlandia,TABAJARAS,PRACA CORONEL VIRGILIO RODRIGUES DA CUNHA
38400272,-18.924293,-48.288655,MG,Uberlandia,TABAJARAS,RUA TAMANDARE
38400274,-18.924631,-48.289509,MG,Uberlandia,TABAJARAS,RUA SANTA VITORIA
38400276,-18.92661,-48.291917,MG,Uberlandia,TABAJARAS,RUA GENERAL CAMARA
38400278,-18.922849,-48.288714,MG,Uberlandia,TABAJARAS,RUA MARIA MONTEIRO
38400280,-18.923292,-48.289256,MG,Uberlandia,TABAJARAS,RUA GENERAL CANABARRO
38400282,-18.923542,-48.290112,MG,Uberlandia,TABAJARAS,RUA ANGELICA ALESSANDRI ASPESI
38400283,-18.922232,-48.288821,MG,Uberlandia,TABAJARAS,AVENIDA GETULIO VARGAS
38400284,-18.925929,-48.289316,MG,Uberlandia,TABAJARAS,RUA OLAVO BILAC
38400286,-18.926896,-48.289762,MG,Uberlandia,TABAJARAS,RUA COELHO NETO
38400288,-18.926469,-48.291028,MG,Uberlandia,TABAJARAS,RUA GONCALVES DIAS
38400290,-18.926784,-48.291727,MG,Uberlandia,TABAJARAS,RUA VITAL MACEDO
38400292,-18.927399,-48.292325,MG,Uberlandia,TABAJARAS,RUA JOSE BONIFACIO
38400294,-18.927148,-48.293394,MG,Uberlandia,TABAJARAS,RUA ALVARES CABRAL
38400296,-18.927318,-48.294137,MG,Uberlandia,TABAJARAS,RUA LAGUNA
38400298,-18.924615,-48.292182,MG,Uberlandia,TABAJARAS,RUA SANTA HELENA
38400299,-18.918678,-48.28379,MG,Uberlandia,TABAJARAS,AVENIDA GETULIO VARGAS
38400302,-18.924493,-48.295033,MG,Uberlandia,DANIEL FONSECA,RUA HORACIO REZENDE
38400304,-18.920067,-48.300579,MG,Uberlandia,DANIEL FONSECA,RUA ROSA COSTA SOUZA
38400306,-18.920196,-48.301333,MG,Uberlandia,DANIEL FONSECA,RUA NEWTON FONSECA ARANTES
38400307,-18.919109,-48.300743,MG,Uberlandia,DANIEL FONSECA,PRACA CATAGUASES
38400308,-18.91891,-48.300477,MG,Uberlandia,DANIEL FONSECA,AVENIDA BRIGADEIRO SAMPAIO
38400309,-18.922854,-48.297126,MG,Uberlandia,DANIEL FONSECA,RUA FRANCISCO SALES
38400310,-18.919392,-48.302402,MG,Uberlandia,DANIEL FONSECA,RUA ANTONIO BERNARDES DA SILVA
38400312,-18.920305,-48.305718,MG,Uberlandia,CHACARAS TUBALINA,RUA MARCIO RIBEIRO DA SILVA
38400313,-18.911347,-48.289229,MG,Uberlandia,MARTINS,AVENIDA ARAGUARI
38400314,-18.910687,-48.303046,MG,Uberlandia,DANIEL FONSECA,PRACA DOS PIONEIROS
38400315,-18.917019,-48.30317,MG,Uberlandia,DANIEL FONSECA,RUA IRAI DE MINAS
38400316,-18.923233,-48.298049,MG,Uberlandia,TABAJARAS,AVENIDA GERALDO MOTTA BATISTA
38400318,-18.924131,-48.296994,MG,Uberlandia,DANIEL FONSECA,RUA BARRETOS
38400320,-18.919023,-48.300408,MG,Uberlandia,DANIEL FONSECA,RUA MONLEVADE
38400322,-18.918143,-48.300285,MG,Uberlandia,DANIEL FONSECA,RUA VARGINHA
38400323,-18.920582,-48.297359,MG,Uberlandia,DANIEL FONSECA,RUA BERNARDO CUPERTINO
38400324,-18.917528,-48.299883,MG,Uberlandia,DANIEL FONSECA,RUA ITABIRA
38400325,-19.091288,-48.364592,MG,Uberlandia,DANIEL FONSECA,AVENIDA VASCONCELOS COSTA
38400326,-18.917558,-48.298854,MG,Uberlandia,DANIEL FONSECA,RUA TOMAZINHO REZENDE
38400327,-18.917524,-48.301274,MG,Uberlandia,DANIEL FONSECA,AVENIDA FERNANDO VILELA
38400328,-18.917775,-48.297629,MG,Uberlandia,OSVALDO REZENDE,AVENIDA MARCOS DE FREITAS COSTA
38400329,-18.924796,-48.293704,MG,Uberlandia,DANIEL FONSECA,AVENIDA GETULIO VARGAS
38400330,-19.025932,-48.412136,MG,Uberlandia,ACAMPAMENTO,ESTRADA ANTIGA ESTRADA DO PRATA
38400336,-18.906513,-48.277375,MG,Uberlandia,BOM JESUS,RUA MEXICO
38400338,-18.907704,-48.278185,MG,Uberlandia,BOM JESUS,AVENIDA JOAO PESSOA
38400339,-18.907406,-48.283989,MG,Uberlandia,UBERLANDIA,AVENIDA ESTRELA DO SUL
38400340,-18.908832,-48.279047,MG,Uberlandia,MARTINS,RUA JOSE ANDRAUS
38400342,-18.904528,-48.279832,MG,Uberlandia,UBERLANDIA,RUA OTAVIO DE OLIVEIRA SANTOS
38400344,-18.908524,-48.280429,MG,Uberlandia,UBERLANDIA,RUA RIVALINO PEREIRA
38400346,-18.911112,-48.278997,MG,Uberlandia,UBERLANDIA,RUA FRANCISCO FORTES PINHO
38400350,-18.906668,-48.283921,MG,Uberlandia,UBERLANDIA,RUA FELIPE JOAO
38400351,-18.906004,-48.281775,MG,Uberlandia,UBERLANDIA,RUA FELIPE JOAO
38400352,-18.909196,-48.281388,MG,Uberlandia,MARTINS,RUA ARLINDO TEIXEIRA
38400354,-18.911708,-48.281206,MG,Uberlandia,MARTINS,RUA GRANDE XEXEU
38400356,-18.910999,-48.282047,MG,Uberlandia,UBERLANDIA,RUA VIEIRA GONCALVES
38400358,-18.912478,-48.283061,MG,Uberlandia,UBERLANDIA,RUA CARMO GIFONI
38400360,-19.054953,-48.504044,MG,Uberlandia,UBERLANDIA,ASSENTAMENTO NOVA TANGARA
38400361,-18.905336,-48.284237,MG,Uberlandia,UBERLANDIA,RUA INDIANOPOLIS
38400362,-18.912016,-48.284435,MG,Uberlandia,UBERLANDIA,RUA RODRIGUES DA CUNHA
38400364,-18.939013,-48.286758,MG,Uberlandia,UBERLANDIA,TRAVESSA FRUTAL
38400366,-18.908945,-48.286047,MG,Uberlandia,UBERLANDIA,PRACA NICOLAU FERES
38400367,-18.907313,-48.287206,MG,Uberlandia,UBERLANDIA,RUA MONTE CARMELO
38400368,-18.911929,-48.285737,MG,Uberlandia,UBERLANDIA,RUA ARTHUR BERNARDES
38400370,-18.912978,-48.286772,MG,Uberlandia,UBERLANDIA,AVENIDA RAULINO COTTA PACHECO
38400372,-18.910475,-48.287383,MG,Uberlandia,UBERLANDIA,AVENIDA RAULINO COTTA PACHECO
38400374,-18.913168,-48.285969,MG,Uberlandia,UBERLANDIA,TRAVESSA ITURAMA
38400375,-18.912547,-48.281851,MG,Uberlandia,UBERLANDIA,AVENIDA BELO HORIZONTE
38400376,-18.912557,-48.287754,MG,Uberlandia,OSVALDO REZENDE,RUA MELO VIANA
38400378,-18.912592,-48.288967,MG,Uberlandia,UBERLANDIA,RUA BUENO BRANDAO
38400380,-18.914405,-48.288959,MG,Uberlandia,OSVALDO REZENDE,TRAVESSA CANAPOLIS
38400381,-18.905346,-48.295437,MG,Uberlandia,JARDIM BRASILIA,AVENIDA PROFESSORA MINERVINA CANDIDA OLIVEIRA
38400382,-18.920319,-48.287004,MG,Uberlandia,OSVALDO REZENDE,TRAVESSA CENTRALINA
38400384,-18.913839,-48.289774,MG,Uberlandia,OSVALDO REZENDE,RUA RAFAEL RINALDI
38400386,-18.914004,-48.29084,MG,Uberlandia,OSVALDO REZENDE,RUA PADRE PIO
38400388,-18.920063,-48.289539,MG,Uberlandia,OSVALDO REZENDE,TRAVESSA CAPINOPOLIS
38400389,-18.909832,-48.292096,MG,Uberlandia,UBERLANDIA,AVENIDA ESTRELA DO SUL
38400390,-18.911376,-48.292958,MG,Uberlandia,OSVALDO REZENDE,RUA ENGENHEIRO AZELI
38400391,-18.918228,-48.291526,MG,Uberlandia,OSVALDO REZENDE,RUA BERNARDO CUPERTINO
38400392,-18.915504,-48.293162,MG,Uberlandia,OSVALDO REZENDE,AVENIDA PAES LEME
38400394,-18.921301,-48.29035,MG,Uberlandia,OSVALDO REZENDE,RUA ITAJUBA
38400396,-18.917679,-48.291513,MG,Uberlandia,OSVALDO REZENDE,RUA CAMPINA VERDE
38400397,-18.91495,-48.292411,MG,Uberlandia,OSVALDO REZENDE,RUA GOIANDIRA
38400398,-18.912656,-48.293269,MG,Uberlandia,OSVALDO REZENDE,RUA LUIZ DELLA PENA
38400402,-18.912904,-48.293649,MG,Uberlandia,OSVALDO REZENDE,RUA ALFREDO JULIO
38400403,-18.912558,-48.29019,MG,Uberlandia,OSVALDO REZENDE,AVENIDA ENGENHEIRO DINIZ
38400404,-18.92077,-48.291546,MG,Uberlandia,OSVALDO REZENDE,RUA ARAXA
38400408,-18.915442,-48.293405,MG,Uberlandia,OSVALDO REZENDE,RUA VITOR MELAZZO
38400410,-18.919166,-48.293233,MG,Uberlandia,OSVALDO REZENDE,RUA POCOS DE CALDAS
38400412,-18.912739,-48.296164,MG,Uberlandia,OSVALDO REZENDE,PRACA ADALBERTO RODRIGUES DA CUNHA
38400414,-18.910503,-48.296993,MG,Uberlandia,OSVALDO REZENDE,RUA DOUTOR LUIZ ROCHA SILVA
38400415,-18.910001,-48.29806,MG,Uberlandia,OSVALDO REZENDE,RUA OTAVIO OLIVEIRA SANTOS
38400418,-18.919116,-48.294093,MG,Uberlandia,OSVALDO REZENDE,RUA CAXAMBU
38400420,-18.918498,-48.295038,MG,Uberlandia,OSVALDO REZENDE,RUA LAMBARI
38400422,-18.917301,-48.296171,MG,Uberlandia,OSVALDO REZENDE,RUA ALFENAS
38400423,-18.910361,-48.290776,MG,Uberlandia,OSVALDO REZENDE,RUA SACRAMENTO
38400424,-18.910958,-48.297414,MG,Uberlandia,OSVALDO REZENDE,RUA OSVALDO REZENDE
38400425,-18.919107,-48.292082,MG,Uberlandia,OSVALDO REZENDE,RUA ARAXA
38400426,-18.913361,-48.298235,MG,Uberlandia,OSVALDO REZENDE,RUA CAMBUQUIRA
38400428,-18.914033,-48.298766,MG,Uberlandia,OSVALDO REZENDE,RUA SAO LOURENCO
38400429,-18.9135,-48.297314,MG,Uberlandia,OSVALDO REZENDE,AVENIDA ARAGUARI
38400430,-18.912879,-48.295126,MG,Uberlandia,OSVALDO REZENDE,RUA IBIA
38400431,-18.915831,-48.298492,MG,Uberlandia,OSVALDO REZENDE,AVENIDA MARCOS DE FREITAS COSTA
38400432,-18.913275,-48.300511,MG,Uberlandia,OSVALDO REZENDE,RUA DIVINOPOLIS
38400434,-18.91976,-48.285447,MG,Uberlandia,UBERLANDIA,AVENIDA GETULIO VARGAS
38400435,-18.920113,-48.286036,MG,Uberlandia,UBERLANDIA,AVENIDA GETULIO VARGAS
38400436,-18.921653,-48.289907,MG,Uberlandia,OSVALDO REZENDE,RUA TAPUIRAMA
